model,metric,score,case_count
Codex 5.6 Sol,sat_unsat_correct_out_of_5,0,0
Codex 5.6 Sol,final_success_out_of_5,0,8
Codex 5.6 Sol,sat_unsat_correct_out_of_5,1,0
Codex 5.6 Sol,final_success_out_of_5,1,0
Codex 5.6 Sol,sat_unsat_correct_out_of_5,2,0
Codex 5.6 Sol,final_success_out_of_5,2,0
Codex 5.6 Sol,sat_unsat_correct_out_of_5,3,6
Codex 5.6 Sol,final_success_out_of_5,3,5
Codex 5.6 Sol,sat_unsat_correct_out_of_5,4,4
Codex 5.6 Sol,final_success_out_of_5,4,7
Codex 5.6 Sol,sat_unsat_correct_out_of_5,5,83
Codex 5.6 Sol,final_success_out_of_5,5,73
Codex 5.6 Sol,incomplete_cases_excluded_from_distribution,,0
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,0,6
DeepSeek V4 Flash,final_success_out_of_5,0,14
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,1,2
DeepSeek V4 Flash,final_success_out_of_5,1,1
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,2,2
DeepSeek V4 Flash,final_success_out_of_5,2,3
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,3,4
DeepSeek V4 Flash,final_success_out_of_5,3,6
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,4,10
DeepSeek V4 Flash,final_success_out_of_5,4,17
DeepSeek V4 Flash,sat_unsat_correct_out_of_5,5,69
DeepSeek V4 Flash,final_success_out_of_5,5,52
DeepSeek V4 Flash,incomplete_cases_excluded_from_distribution,,0
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,0,10
DeepSeek V4 Pro,final_success_out_of_5,0,21
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,1,6
DeepSeek V4 Pro,final_success_out_of_5,1,6
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,2,8
DeepSeek V4 Pro,final_success_out_of_5,2,7
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,3,1
DeepSeek V4 Pro,final_success_out_of_5,3,3
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,4,9
DeepSeek V4 Pro,final_success_out_of_5,4,13
DeepSeek V4 Pro,sat_unsat_correct_out_of_5,5,59
DeepSeek V4 Pro,final_success_out_of_5,5,43
DeepSeek V4 Pro,incomplete_cases_excluded_from_distribution,,0
