model,logic,case,benchmark,completed_runs,correct_verdicts,final_successes,valid_sat_witnesses,correct_sat_verdicts,sat_witness_rate
Codex 5.6 Sol,ABVFP,ABVFP/case-1ea76502db619835c34e.json,ABVFP/308e5a972a-double_req_bl_0320_true-unreach-call.c_4.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-2ba84614cde72ad3c098.json,ABVFP/302cf07a5e-float_req_bl_0530b_true-unreach-call.c_5.md,5,5,4,4,5,0.80000000
Codex 5.6 Sol,ABVFP,ABVFP/case-3fe852ca5f1862168341.json,ABVFP/dd5e3b0351-float_req_bl_1210_false-unreach-call.c_0.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-4d5cdc4bb3ee51806fee.json,ABVFP/189893bdbb-float_req_bl_0530b_true-unreach-call.c_2.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-5d9e1ba66e6f34e00f62.json,ABVFP/a2be3080e2-float_req_bl_0621b_true-unreach-call.c_1.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-6a0803fedb88a746ebe0.json,ABVFP/ac2811a735-float_req_bl_0684a_true-unreach-call.c_4.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-a52114d20df1abee5cd6.json,ABVFP/0c12618c85-float_req_bl_0682a_true-unreach-call.c_13.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-c79d3d0f8ca31eb4b567.json,ABVFP/ea7e47b81e-float_req_bl_0620b_true-unreach-call.c_6.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ABVFP,ABVFP/case-cd781b83cbb53f10c2a9.json,ABVFP/ea681cac71-float_req_bl_0530b_true-unreach-call.c_8.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,ALIA,ALIA/case-3b95015f1e769e665f79.json,ALIA/57ada40aa8-piVC_098a89.md,5,4,4,0,0,
Codex 5.6 Sol,ALIA,ALIA/case-4369920991204ed45b09.json,ALIA/5ed037e3cc-piVC_ffb7db.md,5,4,4,0,0,
Codex 5.6 Sol,ALIA,ALIA/case-447347e15be831c94d5a.json,ALIA/499ffa55ba-piVC_2186b5.md,5,4,4,0,0,
Codex 5.6 Sol,ALIA,ALIA/case-5aab47e21370d04f7449.json,ALIA/f6285a256e-piVC_849b63.md,5,4,4,0,0,
Codex 5.6 Sol,ALIA,ALIA/case-7533a101e746b4eb8d75.json,ALIA/af7d7d155d-piVC_7f6962.md,1,1,1,0,0,
DeepSeek V4 Flash,ABVFP,ABVFP/case-1ea76502db619835c34e.json,ABVFP/308e5a972a-double_req_bl_0320_true-unreach-call.c_4.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-2ba84614cde72ad3c098.json,ABVFP/302cf07a5e-float_req_bl_0530b_true-unreach-call.c_5.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-3fe852ca5f1862168341.json,ABVFP/dd5e3b0351-float_req_bl_1210_false-unreach-call.c_0.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-4d5cdc4bb3ee51806fee.json,ABVFP/189893bdbb-float_req_bl_0530b_true-unreach-call.c_2.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-5d9e1ba66e6f34e00f62.json,ABVFP/a2be3080e2-float_req_bl_0621b_true-unreach-call.c_1.md,5,3,2,2,3,0.66666667
DeepSeek V4 Flash,ABVFP,ABVFP/case-6a0803fedb88a746ebe0.json,ABVFP/ac2811a735-float_req_bl_0684a_true-unreach-call.c_4.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-a52114d20df1abee5cd6.json,ABVFP/0c12618c85-float_req_bl_0682a_true-unreach-call.c_13.md,5,4,4,4,4,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-c79d3d0f8ca31eb4b567.json,ABVFP/ea7e47b81e-float_req_bl_0620b_true-unreach-call.c_6.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-cd781b83cbb53f10c2a9.json,ABVFP/ea681cac71-float_req_bl_0530b_true-unreach-call.c_8.md,5,4,4,4,4,1.00000000
DeepSeek V4 Flash,ALIA,ALIA/case-3b95015f1e769e665f79.json,ALIA/57ada40aa8-piVC_098a89.md,5,4,4,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-4369920991204ed45b09.json,ALIA/5ed037e3cc-piVC_ffb7db.md,5,2,2,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-447347e15be831c94d5a.json,ALIA/499ffa55ba-piVC_2186b5.md,5,1,1,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-5aab47e21370d04f7449.json,ALIA/f6285a256e-piVC_849b63.md,5,1,1,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-7533a101e746b4eb8d75.json,ALIA/af7d7d155d-piVC_7f6962.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-84b2f0287d6e40d79b6e.json,ALIA/af81486a3f-piVC_c5a79f.md,5,3,3,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-a93238253a2173e570e1.json,ALIA/e46b638c7c-piVC_982830.sat.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ALIA,ALIA/case-c607b0e1da0f02296fbb.json,ALIA/dba123416f-piVC_600bf6.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-cf9c9f8464ec3a758f79.json,ALIA/cce1e61ff2-piVC_3240b6.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-d256d0656b1a0ca617f1.json,ALIA/dd3cff8a69-piVC_5cee0c.md,5,1,1,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-e650227321378ef3c6e0.json,ALIA/4c97df26e7-piVC_bd0142.md,5,3,3,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-f4a6ac3a7e94b54bff2a.json,ALIA/bdd5eb546d-piVC_a04477.md,5,1,1,0,0,
DeepSeek V4 Flash,LIA,LIA/case-37133ee346dae01a3598.json,LIA/a60b6e08c6-fcp_197_199.md,5,4,0,0,4,0.00000000
DeepSeek V4 Flash,LIA,LIA/case-37ae4ee4ff23f9ce16e4.json,LIA/01b211cc37-fcp_167_173_179.md,5,5,0,0,5,0.00000000
DeepSeek V4 Flash,LIA,LIA/case-38cca494cece5d7ed65e.json,LIA/818325b2de-nested9_true-unreach-call.i_1749.md,5,4,4,0,0,
DeepSeek V4 Flash,LIA,LIA/case-55e4dccbd311dad51747.json,LIA/ee94632839-138.md,5,1,1,0,0,
DeepSeek V4 Flash,LIA,LIA/case-6f75e2ff0f056270393e.json,LIA/514835a5aa-jain_7_true-unreach-call_true-no-overflow_false-termination.i_5.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-83dc3b96c4f285725b92.json,LIA/86ece07d34-ARI011=1.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-8e6cb8f4af6eceeb2090.json,LIA/0afccb8013-009.md,5,4,4,4,4,1.00000000
DeepSeek V4 Flash,LIA,LIA/case-97c27a0ae12d69082ff9.json,LIA/4d472d34fe-NUM874=1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,LIA,LIA/case-a24ed4a919d05ba3463e.json,LIA/7e33141df7-nested9_true-unreach-call.i_1676.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-b94cfa21f7a768c5616a.json,LIA/87f585dce5-nested9_true-unreach-call.i_670.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-bccf4ac09527548438e1.json,LIA/4935b59fa2-137.md,5,2,0,0,2,0.00000000
DeepSeek V4 Flash,LIA,LIA/case-e42cddba6c760e17a4e6.json,LIA/07d23f440c-076.md,5,3,2,2,3,0.66666667
DeepSeek V4 Flash,NIA,NIA/case-089daad396150f00befe.json,NIA/6097397d24-Problem17_label54_false-unreach-call.c_10.md,5,5,2,2,5,0.40000000
DeepSeek V4 Flash,NIA,NIA/case-09a7f924777a4241e65c.json,NIA/d2baf9a6e3-184.md,5,2,2,0,0,
DeepSeek V4 Flash,NIA,NIA/case-1f877c31f8d374e71b1b.json,NIA/adba4fcc0d-Problem17_label54_false-unreach-call.c_12.md,5,4,3,3,4,0.75000000
DeepSeek V4 Flash,NIA,NIA/case-571d8eaf9802c576628c.json,NIA/520443d627-183.md,5,4,2,2,4,0.50000000
DeepSeek V4 Flash,NIA,NIA/case-6e49f1e848bfcea046e7.json,NIA/d8e2e6a94b-byte_add_1_true-unreach-call_true-no-overflow_true-termination.i_1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NIA,NIA/case-79c18f0e40fc9f262690.json,NIA/f78bd5b9f4-NUM878=1.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-7c3536b9dc2009f2d65e.json,NIA/b9297b0cc3-ARI123=1.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-b82a0bacc829be583cfd.json,NIA/33b3fa2910-jain_6_true-unreach-call_true-no-overflow_false-termination.i_0.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-c4f10a8031854f8b4bd0.json,NIA/63da306c9c-Problem18_label34_false-unreach-call.c_13.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-dd0f3cb79e8310b233e8.json,NIA/41a6c07a20-jain_6_true-unreach-call_true-no-overflow_false-termination.i_11.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-e30a97bc4a165022fc17.json,NIA/11d889a116-NUM885=1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NIA,NIA/case-fec40fc9e41799578ccc.json,NIA/2da4538e94-Problem17_label54_false-unreach-call.c_13.md,5,4,4,4,4,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-07fc023d7b5bbc4b46c9.json,NRA/722eaea277-strassen-hard.md,5,5,0,0,5,0.00000000
DeepSeek V4 Flash,NRA,NRA/case-0dd93fe9495ae97a1076.json,NRA/05f6f3c412-intersection-example-simple.proof-node139846.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-2300cc91e46152c38058.json,NRA/5de9b96fd7-strassen-trivial.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-4dbf56cc7fc67319420c.json,NRA/b71c706c27-ETCS-essentials-live-range2.proof-node1046.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-565e22bbc482817f68c9.json,NRA/3f4c9f1d1c-strassen-linear.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,NRA,NRA/case-587bb9e70acab7083a09.json,NRA/7af8bd92ec-intersection-example-simple.proof-node123456.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-77dc803deaf402445c07.json,NRA/b8c28b67ab-intersection-example-simple.proof-node469037.md,5,5,5,0,0,
